



Thelma,2011,Junnila Agudo,actor,




Ousadia,1982,Tadeu Aguiar,actor,
Cazadores de asesinos,1962,Antonio Aguilar,actor,
El hijo de Gabino Barrera,1965,Antonio Aguilar,actor,
El justiciero vengador,1962,Antonio Aguilar,actor,
El rey,1976,Antonio Aguilar,actor,
La captura de Gabino Barrera,1970,Antonio Aguilar,actor,
La venganza de Gabino Barrera,1971,Antonio Aguilar,actor,


Shake Rattle and Roll Fourteen: The Invasion,2012,Bjorn Aguilar,actor,

The Kentucky Fried Movie,1977,Carmelo Aguilar,actor,


El amor y otras desgracias,2013,Emilio (III) Aguilar,actor,
Casablanca Driver,2004,George Aguilar,actor,

Creaturealm: Demons Wake,1998,Jose Luis Aguilar,actor,

Chucho el Roto,1954,Luis Aguilar,actor,
El 7 leguas,1955,Luis Aguilar,actor,
El regreso del monstruo,1959,Luis Aguilar,actor,
El tigre enmascarado,1951,Luis Aguilar,actor,
El Zorro escarlata en la venganza del ahorcado,1958,Luis Aguilar,actor,

Teatro del crimen,1957,Luis Aguilar,actor,
8,2008,Augusto Aguilera,actor,


Thelma,2011,Cerapio Aguinaldo,actor,


Shake Rattle and Roll Fourteen: The Invasion,2012,Marvin Aguinaldo,actor,
El criado malcriado,1969,Jos? Luis Aguirre 'Trotsky',actor,


Cinco (II),2010,Jet Aguirre,actor,


La gente de la Universal,1991,Ram?n Aguirre,actor,


Ghetu Putro Komola,2012,Agun,actor,
Shake Rattle & Roll X,2008,Dennis Aguring Jr.,actor,


Le motorizzate,1963,Gianni Agus,actor,
Questo e quello,1983,Gianni Agus,actor,


'Wag kang lilingon,2006,Marvin Agustin,actor,
Angels,2007,Marvin Agustin,actor,
Flames: The Movie,1997,Marvin Agustin,actor,


Magandang hatinggabi,1998,Marvin Agustin,actor,



Be with Me,2005,Ng Sway Ah,actor,
Hamlet: Prince of Denmark,1989,Kabir Ahamed,actor,


Twisted Fortune,2007,Dan Ahdoot,actor,





Dead of Night,1945,Patrick Aherne,actor,
